# Raw [BENCH] output — Windhawk mod log, tourne-table-bench, 2026-09-14
# 48 windows x 5 s = 240 s, 15,376 frames, four configurations switched live.
# Intel Core Ultra 265KF, 1920x1080. Music playing continuously throughout.
# Windows marked FIRST are the first after a settings change and carry
# swap-chain rebuild cost; they are excluded from steady-state statistics.

23:45:55.133  sync=1 buffers=2 | 315 frames (63.0 fps) | Present avg 0.724 ms, worst  4.261 ms | blocked 4.6%
23:46:00.152  sync=1 buffers=2 | 321 frames (64.0 fps) | Present avg 0.783 ms, worst  3.886 ms | blocked 5.0%
23:46:05.153  sync=1 buffers=2 | 320 frames (64.0 fps) | Present avg 0.737 ms, worst  4.307 ms | blocked 4.7%
23:46:10.165  sync=1 buffers=2 | 321 frames (64.0 fps) | Present avg 0.730 ms, worst  3.958 ms | blocked 4.7%
23:46:15.169  sync=1 buffers=2 | 320 frames (63.9 fps) | Present avg 0.680 ms, worst  4.393 ms | blocked 4.3%
23:46:20.184  sync=1 buffers=2 | 321 frames (64.0 fps) | Present avg 0.742 ms, worst  3.953 ms | blocked 4.7%
23:46:25.198  sync=1 buffers=2 | 321 frames (64.0 fps) | Present avg 0.712 ms, worst  3.981 ms | blocked 4.6%
23:46:30.210  sync=1 buffers=2 | 321 frames (64.0 fps) | Present avg 0.766 ms, worst  3.946 ms | blocked 4.9%
23:46:35.212  sync=1 buffers=2 | 320 frames (64.0 fps) | Present avg 0.519 ms, worst  4.535 ms | blocked 3.3%
23:46:40.228  sync=1 buffers=2 | 321 frames (64.0 fps) | Present avg 0.224 ms, worst  0.578 ms | blocked 1.4%
23:46:45.231  sync=1 buffers=2 | 320 frames (64.0 fps) | Present avg 0.644 ms, worst  4.011 ms | blocked 4.1%
23:46:50.245  sync=1 buffers=2 | 321 frames (64.0 fps) | Present avg 0.306 ms, worst  3.809 ms | blocked 2.0%
23:46:55.245  sync=1 buffers=2 | 320 frames (64.0 fps) | Present avg 0.551 ms, worst  3.777 ms | blocked 3.5%

# --- settings change: sync 1 -> 0 ---
23:47:00.245  sync=0 buffers=2 | 320 frames (64.0 fps) | Present avg 0.467 ms, worst 17.646 ms | blocked 3.0%   FIRST
23:47:05.248  sync=0 buffers=2 | 320 frames (64.0 fps) | Present avg 0.502 ms, worst  4.038 ms | blocked 3.2%
23:47:10.261  sync=0 buffers=2 | 321 frames (64.0 fps) | Present avg 0.727 ms, worst  3.894 ms | blocked 4.7%
23:47:15.262  sync=0 buffers=2 | 320 frames (64.0 fps) | Present avg 0.672 ms, worst  4.188 ms | blocked 4.3%
